0	1	5
0	2	5
0	9	1
0	10	1
0	13	1
0	15	1
0	20	1
0	22	1
0	23	1
1	2	5
1	3	1
1	4	1
1	5	1
1	6	1
1	9	1
1	10	1
1	13	1
1	15	1
1	16	1
2	3	1
2	5	1
2	6	1
2	8	1
2	9	1
2	10	1
2	12	1
2	15	1
2	16	1
2	26	1
3	4	5
3	5	1
3	6	1
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	2
3	15	1
3	16	5
3	20	1
3	21	1
3	28	1
4	5	1
4	8	1
4	9	1
4	10	1
4	11	1
4	12	1
4	13	2
4	16	5
4	20	1
4	21	1
4	23	1
4	26	1
5	6	5
5	7	3
5	8	2
5	10	1
5	14	1
5	26	1
5	27	1
5	28	1
6	7	4
6	8	3
6	9	1
6	14	1
6	21	1
6	26	1
6	27	1
6	35	1
7	8	2
7	9	1
7	10	1
7	11	1
7	14	1
8	10	1
8	26	2
8	33	1
9	10	5
9	11	1
9	13	1
9	15	1
9	27	1
10	11	1
10	13	2
10	15	1
10	28	1
11	13	1
11	14	1
11	24	1
12	13	5
12	14	1
12	16	1
12	37	1
12	38	1
12	39	1
13	14	1
13	16	2
13	25	1
13	37	1
13	38	1
13	39	1
14	15	1
15	16	1
15	19	1
15	26	1
16	20	1
16	21	1
16	22	1
16	23	1
17	18	5
17	19	3
18	19	2
18	30	1
19	21	1
19	22	1
19	26	1
19	30	1
20	21	4
20	22	5
20	23	3
21	22	5
21	23	5
21	27	1
21	28	1
22	23	3
22	25	1
22	27	1
23	27	1
24	25	3
24	30	1
24	31	1
25	31	1
26	31	1
26	33	1
26	37	1
26	41	1
26	44	1
26	51	1
27	28	5
27	29	1
27	30	1
27	31	1
27	33	1
28	30	1
28	31	1
28	33	1
29	30	5
29	31	1
29	36	1
29	41	1
30	31	1
30	34	4
30	36	1
30	37	1
30	39	1
30	41	1
30	42	1
30	43	1
31	32	1
31	33	1
32	33	4
32	36	1
33	36	1
33	37	1
33	38	1
33	39	1
34	35	1
35	41	1
37	38	5
37	39	1
37	42	1
38	39	1
38	41	1
38	42	1
38	43	1
39	41	1
40	41	5
40	78	1
41	43	1
41	46	1
41	49	1
41	57	1
42	43	5
44	45	5
44	55	1
45	47	1
45	60	1
45	77	1
45	78	1
46	48	1
47	48	5
47	53	1
47	62	1
47	63	1
47	67	1
48	53	1
48	56	1
49	50	4
51	52	2
53	54	5
53	55	5
53	57	1
53	81	1
54	55	4
54	81	1
57	72	1
57	85	1
57	91	1
57	97	1
57	100	1
57	101	1
57	102	1
58	59	2
58	60	3
58	61	1
58	62	1
58	63	1
58	65	2
58	66	1
58	67	1
58	68	2
58	69	1
58	70	1
58	71	3
58	73	1
58	74	1
58	75	1
58	76	1
58	79	1
58	82	1
59	60	1
59	61	5
59	62	1
59	63	2
59	64	1
59	66	4
59	67	1
59	70	1
59	71	1
59	72	1
59	79	1
59	80	1
60	61	1
60	62	1
60	63	1
60	65	1
60	66	1
60	67	1
60	68	1
60	71	1
60	72	1
60	75	1
60	79	1
60	81	1
61	62	1
61	63	1
61	64	1
61	65	2
61	66	2
61	67	1
61	68	1
61	70	1
61	71	1
61	75	1
61	76	1
61	79	1
61	80	1
61	81	1
62	63	2
62	64	2
62	65	1
62	66	1
62	67	2
62	68	1
62	69	1
62	71	1
62	72	1
62	78	1
62	79	1
63	64	4
63	65	3
63	66	2
63	67	5
63	68	1
63	72	1
63	74	1
63	75	1
63	77	1
63	80	3
63	81	1
63	87	1
64	65	1
64	66	1
64	67	4
64	76	1
64	79	1
64	80	3
64	81	1
65	66	1
65	67	2
65	68	1
65	70	1
65	71	1
65	72	1
65	73	1
65	74	1
65	75	1
65	76	1
65	78	1
65	79	2
65	87	1
66	67	2
66	68	1
66	69	1
66	70	1
66	71	1
66	72	1
66	78	1
66	79	2
66	87	1
67	68	1
67	71	1
67	72	1
67	74	1
67	77	1
67	78	1
67	80	4
67	81	1
67	83	1
68	69	2
68	70	4
68	71	1
68	72	1
68	74	1
68	75	3
68	76	1
68	77	1
68	79	1
68	81	1
68	83	1
68	87	1
69	70	3
69	71	1
69	72	1
69	73	1
69	75	1
69	76	1
69	79	1
70	71	1
70	72	1
70	73	2
70	75	2
70	76	2
70	79	1
70	87	1
71	72	1
71	73	1
71	75	1
71	76	1
71	79	2
71	82	1
71	83	1
71	87	1
72	74	2
72	75	3
72	76	1
72	77	4
72	78	4
72	81	1
72	102	1
73	74	1
73	75	1
73	76	3
73	80	1
73	87	1
74	75	2
74	77	3
74	78	4
75	76	1
75	77	2
75	78	1
75	80	1
75	81	1
76	79	1
77	78	5
77	80	1
77	81	1
77	83	1
77	88	1
78	79	1
79	80	1
82	83	5
83	93	1
84	85	3
84	86	5
84	89	1
84	100	1
84	104	1
85	86	5
85	100	1
86	88	1
86	94	1
86	98	1
86	100	1
87	88	1
87	90	1
87	91	1
87	97	1
87	100	1
87	101	1
87	106	1
88	89	5
88	90	3
88	91	2
88	92	3
88	93	1
88	94	3
88	95	2
88	96	1
88	97	2
88	98	2
88	99	1
88	100	4
88	101	3
88	102	1
88	103	1
88	107	1
89	90	2
89	91	2
89	92	3
89	93	2
89	94	3
89	95	3
89	96	1
89	97	2
89	98	3
89	99	1
89	100	3
89	101	2
89	107	1
90	91	2
90	92	1
90	93	2
90	94	4
90	95	1
90	96	1
90	97	2
90	98	1
90	99	1
90	100	3
90	101	2
90	103	1
91	92	4
91	93	2
91	94	1
91	95	2
91	96	1
91	97	3
91	98	4
91	100	1
91	101	1
91	103	1
91	106	1
91	108	1
91	109	1
91	113	1
92	93	3
92	94	1
92	95	2
92	96	2
